Wall time,Step,Value
1668346010.849063,62844,-59.543983459472656
1668346011.078554,63086,-110.2559814453125
1668346011.2343655,63285,-58.90261459350586
1668346011.8114324,63740,-91.62760925292969
1668346011.9494448,63919,-48.49967575073242
1668346012.244617,64219,-153.9480438232422
1668346012.3650806,64390,-113.76141357421875
1668346012.580527,64635,-78.64726257324219
1668346012.6965082,64738,-93.95501708984375
1668346012.900312,64939,-61.62759017944336
1668346013.016481,65077,-85.94938659667969
1668346013.2830033,65367,-240.07736206054688
1668346013.40851,65523,-127.21501922607422
1668346013.6615176,65806,0.5943374633789062
1668346014.0804331,66127,-73.63899993896484
1668346014.176188,66258,-110.85374450683594
1668346015.7056913,67016,-80.7839584350586
1668346015.795037,67132,-112.82239532470703
1668346015.9310985,67301,-44.4931526184082
1668346016.8540945,67984,-60.597347259521484
1668346017.2126446,68323,3.3185577392578125
1668346017.3309493,68448,-83.157470703125
1668346017.5002573,68611,-78.58190155029297
1668346017.8797355,69048,-4.934844970703125
1668346018.4608376,69455,-111.9327163696289
1668346018.7787561,69782,-66.04901123046875
1668346018.9318,69981,-114.42488098144531
1668346021.311041,70981,-38.384735107421875
1668346021.4267356,71109,-51.71662902832031
1668346022.7005796,71875,-93.9865493774414
1668346022.8203118,72036,12.813453674316406
1668346023.283111,72443,-4.276275634765625
1668346023.7696774,72879,-47.564327239990234
1668346023.8988855,73049,4.4712066650390625
1668346024.030302,73216,-37.892303466796875
1668346026.3915067,74216,-118.5084228515625
1668346026.4667706,74300,-78.62234497070312
1668346028.3946853,75275,-202.47434997558594
1668346030.9834695,76275,-100.49583435058594
1668346031.3458734,76567,-7.7028961181640625
1668346031.4853597,76688,-28.416061401367188
1668346031.8134687,76993,-52.58800506591797
1668346034.6510134,77993,-15.369053840637207
1668346035.193235,78394,-67.81145477294922
1668346036.1881387,79030,-218.86349487304688
1668346036.3267686,79187,-16.678451538085938
1668346036.482524,79367,-225.01907348632812
1668346036.6305387,79554,42.080657958984375
1668346038.731516,80554,-19.98258399963379
1668346041.5727506,81554,-75.83907318115234
1668346044.406113,82554,-82.33939361572266
1668346044.6958063,82857,-32.09043884277344
1668346045.2343144,83262,13.937492370605469
1668346053.9925652,87262,58.09477233886719
1668346056.1461844,88262,-15.498259544372559
1668346058.8992732,89262,42.946136474609375
1668346061.6300516,90262,23.690855026245117
1668346063.6585314,91095,-233.84744262695312
1668346066.059215,92095,77.48628997802734
1668346068.674125,93095,61.68898010253906
1668346071.3356724,94095,-31.096925735473633
1668346073.8287756,95095,57.81267547607422
1668346075.3937624,95924,-228.6532745361328
1668346076.3786826,96540,-129.58834838867188
1668346076.4814076,96662,-98.32069396972656
1668346078.9160116,97662,-3.43234920501709
1668346079.7474906,98258,-109.28217315673828
1668346082.4829981,99258,-58.77057647705078
1668346082.6979384,99459,-69.67314910888672
1668346084.2785194,100199,-143.12806701660156
1668346086.8151002,101199,-34.356266021728516
1668346089.297428,102199,-3.8487071990966797
1668346091.3553686,103199,-134.542724609375
1668346093.8799465,104199,-12.129585266113281
1668346095.9263673,105187,73.85352325439453
1668346097.8198586,106187,-54.32817077636719
1668346101.1302605,107187,-57.362552642822266
1668346103.1521404,108187,-106.18893432617188
1668346107.8576634,110187,-55.04008483886719
1668346110.5956013,111187,-20.061878204345703
1668346112.925202,112187,-41.48897933959961
1668346114.92389,113187,-32.57700729370117
1668346117.2841086,114187,45.790828704833984
1668346120.4123747,115187,-37.38928985595703
1668346122.9827232,116187,79.76264953613281
1668346126.2963758,117187,-87.72002410888672
1668346128.6295292,118187,-61.86125946044922
1668346130.4234936,119187,-1.0896376371383667
1668346132.608163,120187,-45.08802032470703
1668346135.2525237,121187,-39.85232925415039
1668346138.1650748,122187,26.658382415771484
1668346141.11985,123187,-58.44277572631836
1668346144.208291,124187,-45.305870056152344
1668346146.493986,125187,-16.30303955078125
1668346148.939883,126187,-60.957664489746094
1668346151.691684,127187,-51.95724105834961
1668346153.0053616,128017,130.92005920410156
1668346155.3253894,129017,-32.7365608215332
1668346158.557596,130017,-72.8676986694336
1668346160.36557,131017,13.081396102905273
1668346162.7921827,132017,-50.01216125488281
1668346165.8513286,133017,-77.6403579711914
1668346168.453896,134017,-73.85444641113281
1668346171.5840793,135017,-79.38151550292969
1668346173.8200395,136017,-27.695690155029297
1668346175.8445516,137017,9.171452522277832
1668346178.2297015,138017,-34.59803009033203
1668346180.559847,139017,-75.94137573242188
1668346182.865393,140017,-51.79874038696289
1668346185.150198,141017,-96.32908630371094
1668346187.2498214,142017,-96.12555694580078
1668346189.687014,143017,-51.63446044921875
1668346192.8504426,144017,-66.052734375
1668346198.7398639,146017,-60.777496337890625
1668346201.723331,147017,-75.07282257080078
1668346204.2504091,148017,-25.899093627929688
1668346206.7639837,149017,-40.35654067993164
1668346209.9642375,150017,-29.76348114013672
1668346212.6075284,150984,-191.08657836914062
1668346214.1707168,151984,-77.5747299194336
1668346216.1961882,152984,-116.11334228515625
1668346218.3314934,153851,-151.6305694580078
1668346220.6525464,154849,-169.7171630859375
1668346223.166103,155849,-62.02033615112305
1668346224.759853,156804,-185.19134521484375
1668346228.0730426,157804,-77.77340698242188
1668346232.4389706,158804,-84.18787384033203
1668346234.9215984,159804,-67.4927749633789
1668346237.9416761,160804,-127.96265411376953
1668346242.348889,162584,-115.56542205810547
1668346244.4850206,163584,-80.71221923828125
1668346248.2466671,164584,-83.32975006103516
1668346250.6871433,165584,-85.13521575927734
1668346253.5799153,166584,-83.1339340209961
1668346255.400765,167584,-23.154399871826172
1668346257.5168643,168584,-59.53151321411133
1668346259.931479,169584,-88.80125427246094
1668346261.7227504,170584,-66.20294952392578
1668346263.9613366,171584,-20.703426361083984
1668346267.8499978,172584,-75.08159637451172
1668346270.0845861,173584,-61.52428436279297
1668346272.6469104,174584,-119.11495208740234
1668346276.4714048,175584,-68.79955291748047
1668346281.1336331,176584,-21.271678924560547
1668346284.731415,177584,-21.860979080200195
1668346287.1318927,178584,-27.662961959838867
1668346289.3857303,179584,-126.63258361816406
1668346291.9482932,180584,-89.14752960205078
1668346294.6596947,181584,-101.17288970947266
1668346297.2337232,182584,-76.5218734741211
1668346300.2138839,183584,-114.14485168457031
1668346303.4582136,184584,-84.53373718261719
1668346306.27647,185584,-75.42740631103516
1668346309.3192465,186584,-71.45008087158203
1668346312.457588,187584,-63.30543899536133
1668346314.8965218,188584,-44.13759994506836
1668346318.0880713,189584,-115.039794921875
1668346321.3367565,190584,-43.81886291503906
1668346323.423604,191584,-98.06241607666016
1668346325.526846,192584,-1.5590925216674805
1668346328.84052,193584,-121.99295043945312
1668346331.5022418,194584,-90.75962829589844
1668346331.785618,194824,-211.423583984375
1668346333.7164385,195824,20.333770751953125
1668346334.5814335,196329,226.27899169921875
1668346337.2454097,197329,-49.757591247558594
1668346339.7085643,198329,-23.942272186279297
1668346342.8326428,199329,-86.80693817138672
1668346345.3719237,200329,-31.645662307739258
1668346345.7004266,200629,-34.927703857421875
1668346348.669298,201629,-96.09446716308594
1668346350.6973307,202629,-68.40238952636719
1668346354.1156824,203629,-65.68743896484375
1668346357.2532413,204629,-112.60604095458984
1668346359.074339,205629,-67.6620101928711
1668346362.5335248,206944,-73.45245361328125
1668346362.9164927,207231,-235.98916625976562
1668346365.5184064,208231,-118.821533203125
1668346365.849723,208481,-260.7909851074219
1668346366.3023114,208785,-270.08721923828125
1668346366.5858042,209028,-42.67483901977539
1668346369.6696916,210028,-73.85206604003906
1668346372.2035306,211028,-77.54521179199219
1668346374.817494,212028,-103.0061264038086
1668346376.2670994,212698,182.58404541015625
1668346376.4869075,212882,-16.033615112304688
1668346378.745225,213882,-112.15013885498047
1668346379.0919087,214132,-16.429771423339844
1668346381.536385,215132,-57.42681121826172
1668346381.699061,215302,-232.4867401123047
1668346382.700499,216082,286.885498046875
1668346383.5406895,216528,242.66741943359375
1668346383.806195,216754,-224.91192626953125
1668346384.0150564,216944,-23.637229919433594
1668346384.7866573,217405,219.691650390625
1668346385.381354,217873,250.73916625976562
1668346388.0957432,218873,-29.513961791992188
1668346388.45456,219158,-223.2720184326172
1668346391.1073134,220158,-113.93023681640625
1668346391.2798545,220343,-7.903831481933594
1668346391.864025,220747,269.6781005859375
1668346394.4360628,221747,-104.69762420654297
1668346394.683453,221971,-215.0127716064453
1668346397.75173,222971,-62.196083068847656
1668346398.398219,223402,249.5205078125
1668346400.8039267,224402,-101.94242095947266
1668346401.779039,225037,160.03627014160156
1668346404.0194998,226037,-80.30706787109375
1668346404.5859098,226441,-22.575653076171875
1668346404.7677207,226630,-20.506576538085938
1668346405.7327995,227267,160.80374145507812
1668346406.1631515,227642,278.5682373046875
1668346408.7759712,228642,-36.076168060302734
1668346409.470029,229084,217.85845947265625
1668346412.841053,230084,-82.38164520263672
1668346415.9149601,231084,-43.14230728149414
1668346416.1531653,231293,14.56268310546875
